manufacturer,model,engine_size,fuel_type,year_of_manufacture,mileage,price,car_age,damages
Ford,Mondeo,1.4,Diesel,2021,14758,41242.000000000000,3,PERFECT
VW,Polo,2.0,Petrol,2019,38237,25698.000000000000,5,PERFECT
Ford,Fiesta,1.4,Diesel,2022,8621,31697.000000000000,2,PERFECT
BMW,M5,4.0,Petrol,2000,153596,11945.30000000000000,24,SCRATCH
Ford,Fiesta,1.4,Petrol,1993,84644,2602.050000000000000000,31,SCRATCH
BMW,Z4,2.2,Petrol,1997,250431,1715.700000000000000000,27,SCRATCH
Toyota,RAV4,2.0,Hybrid,2004,138340,9182.700000000000000000,20,SCRATCH
VW,Passat,2.0,Diesel,2011,73733,17746.00000000000000,13,SCRATCH
Toyota,RAV4,1.8,Hybrid,2014,53321,31300.60000000000000,10,SCRATCH
Ford,Mondeo,1.6,Petrol,1994,264924,939.550000000000000000,30,SCRATCH
Toyota,Prius,1.0,Hybrid,1998,104481,4807.000000000000000000,26,SCRATCH
VW,Passat,1.4,Diesel,1985,267541,521.550000000000000000,39,SCRATCH
BMW,X3,2.0,Diesel,2009,129764,11399.05000000000000,15,SCRATCH
Toyota,Yaris,1.2,Hybrid,1990,97463,2501.350000000000000000,34,SCRATCH
VW,Golf,2.0,Petrol,2017,44227,24457.75000000000000,7,SCRATCH
Porsche,911,3.0,Petrol,2014,65307,60144.50000000000000,10,SCRATCH
VW,Golf,1.6,Petrol,2001,205054,2193.550000000000000000,23,SCRATCH
Toyota,Yaris,1.2,Petrol,1985,73419,1767.950000000000000000,39,SCRATCH
Toyota,Prius,1.8,Hybrid,2007,132296,9498.100000000000000000,17,SCRATCH
Toyota,RAV4,1.8,Hybrid,2014,45184,32922.25000000000000,10,SCRATCH
Ford,Mondeo,1.6,Petrol,2010,80723,12760.40000000000000,14,SCRATCH
VW,Polo,1.0,Petrol,1990,145249,1167.550000000000000000,34,SCRATCH
VW,Passat,1.6,Petrol,1993,131899,2968.750000000000000000,31,SCRATCH
Toyota,Prius,1.0,Hybrid,2015,48540,21860.45000000000000,9,SCRATCH
VW,Golf,1.6,Petrol,1999,91360,4821.250000000000000000,25,SCRATCH
Toyota,Yaris,1.4,Hybrid,2007,143360,5898.550000000000000000,17,SCRATCH
Porsche,911,3.0,Petrol,2020,26592,119725.000000000000,4,PERFECT
Ford,Fiesta,1.2,Petrol,2021,15389,25224.000000000000,3,PERFECT
Toyota,Prius,1.8,Hybrid,2020,22725,50150.000000000000,4,PERFECT
BMW,M5,4.0,Petrol,2021,17094,131671.000000000000,3,PERFECT
VW,Passat,1.8,Diesel,2020,13928,46426.000000000000,4,PERFECT
Toyota,RAV4,2.2,Hybrid,2022,6087,81405.000000000000,2,PERFECT
BMW,Z4,2.0,Petrol,2019,21002,44233.000000000000,5,PERFECT
VW,Golf,1.2,Petrol,2021,5968,32285.000000000000,3,PERFECT
Toyota,Yaris,1.0,Hybrid,2019,16399,27849.000000000000,5,PERFECT
Porsche,911,3.0,Petrol,2019,15075,119353.000000000000,5,PERFECT
VW,Passat,1.6,Petrol,2022,7028,49394.000000000000,2,PERFECT
Ford,Fiesta,1.0,Petrol,2022,5804,25888.000000000000,2,PERFECT
Ford,Mondeo,1.6,Diesel,2021,9680,45294.000000000000,3,PERFECT
VW,Golf,2.0,Petrol,2019,26056,32728.000000000000,5,PERFECT
VW,Polo,2.0,Petrol,2019,21357,28312.000000000000,5,PERFECT
Porsche,718 Cayman,4.0,Petrol,2021,3605,94799.000000000000,3,PERFECT
Ford,Mondeo,1.8,Diesel,2020,26049,41111.000000000000,4,PERFECT
Toyota,Prius,1.8,Hybrid,2020,3862,55456.000000000000,4,PERFECT
Porsche,Cayenne,3.5,Petrol,2021,9468,101864.000000000000,3,PERFECT
BMW,Z4,2.2,Petrol,2021,15740,54554.000000000000,3,PERFECT
Ford,Focus,1.4,Petrol,2019,15729,34511.000000000000,5,PERFECT
Toyota,Prius,1.4,Hybrid,2020,15911,45911.000000000000,4,PERFECT
Toyota,RAV4,1.8,Hybrid,2019,26837,53884.000000000000,5,PERFECT
Toyota,Prius,1.0,Hybrid,2019,32106,33154.000000000000,5,PERFECT
Ford,Fiesta,1.0,Hybrid,2020,20210,25180.000000000000,4,PERFECT
Toyota,RAV4,2.0,Hybrid,2019,37977,53243.000000000000,5,PERFECT
Toyota,Prius,1.0,Hybrid,2019,22259,35059.000000000000,5,PERFECT
VW,Golf,1.4,Petrol,2019,29644,26829.000000000000,5,PERFECT
Toyota,Prius,1.0,Hybrid,2020,19953,37957.000000000000,4,PERFECT
VW,Golf,1.6,Petrol,2020,13044,33607.000000000000,4,PERFECT
Toyota,RAV4,2.2,Hybrid,2022,5498,81652.000000000000,2,PERFECT
Ford,Fiesta,1.2,Petrol,2019,23589,21105.000000000000,5,PERFECT
Toyota,RAV4,1.8,Petrol,2021,21354,52908.000000000000,3,PERFECT
VW,Golf,1.8,Petrol,2019,16260,32776.000000000000,5,PERFECT
VW,Polo,1.2,Petrol,2020,26740,22746.000000000000,4,PERFECT
Ford,Mondeo,1.8,Diesel,2020,17770,43042.000000000000,4,PERFECT
Toyota,RAV4,2.4,Petrol,2021,10953,64624.000000000000,3,PERFECT
Ford,Fiesta,1.4,Petrol,1992,245794,605.70000000000000000,32,DENT
Ford,Mondeo,1.8,Diesel,2009,32884,17088.3000000000000,15,DENT
Ford,Mondeo,1.6,Petrol,1999,87358,5543.10000000000000000,25,DENT
Ford,Fiesta,1.2,Hybrid,2019,13630,26742.000000000000,5,PERFECT
VW,Golf,2.0,Diesel,2021,12931,42197.000000000000,3,PERFECT
VW,Polo,1.6,Petrol,2021,11015,30598.000000000000,3,PERFECT
VW,Passat,1.6,Diesel,2020,17659,42899.000000000000,4,PERFECT
BMW,X3,2.0,Petrol,2020,11179,52352.000000000000,4,PERFECT
Ford,Focus,2.0,Hybrid,2021,9682,58407.000000000000,3,PERFECT
Ford,Mondeo,1.6,Diesel,2022,6961,49107.000000000000,2,PERFECT
Ford,Focus,1.4,Petrol,2021,10777,40489.000000000000,3,PERFECT
Toyota,Yaris,1.0,Petrol,2019,12783,23662,5,PERFECT
Porsche,718 Cayman,2.4,Petrol,2020,12952,65432.000000000000,4,PERFECT
VW,Passat,2.0,Diesel,2022,5020,58588.000000000000,2,PERFECT
Toyota,Yaris,1.2,Hybrid,2020,18692,32206.000000000000,4,PERFECT
Ford,Mondeo,1.8,Diesel,2020,16783,43273.000000000000,4,PERFECT
VW,Polo,1.0,Petrol,2020,11674,22551.000000000000,4,PERFECT
VW,Polo,1.4,Petrol,2019,15792,24419.000000000000,5,PERFECT
Ford,Mondeo,1.6,Diesel,2020,19116,40283.000000000000,4,PERFECT
BMW,Z4,2.2,Petrol,2021,9192,56484.000000000000,3,PERFECT
Toyota,RAV4,2.2,Hybrid,2020,23250,64975.000000000000,4,PERFECT
Ford,Focus,2.0,Diesel,2019,21598,41944.000000000000,5,PERFECT
BMW,Z4,2.0,Petrol,2020,20389,47443.000000000000,4,PERFECT
Toyota,Prius,1.0,Hybrid,2021,9857,42835.000000000000,3,PERFECT
Toyota,RAV4,2.0,Petrol,2019,36196,44839.000000000000,5,PERFECT
Porsche,718 Cayman,2.4,Petrol,2001,136494,7619.000000000000000000,23,SCRATCH
Ford,Fiesta,1.2,Petrol,2006,150801,3460.850000000000000000,18,SCRATCH
BMW,Z4,2.4,Petrol,2017,57884,32323.75000000000000,7,SCRATCH
Toyota,Yaris,1.0,Hybrid,2000,86902,4797.500000000000000000,24,SCRATCH
VW,Golf,1.2,Petrol,2010,99925,8171.900000000000000000,14,SCRATCH
Ford,Focus,1.0,Petrol,2013,55408,14709.80000000000000,11,SCRATCH
Toyota,Prius,1.8,Hybrid,1991,173990,2320.850000000000000000,33,SCRATCH
Toyota,Yaris,1.0,Hybrid,2005,74649,7287.450000000000000000,19,SCRATCH
VW,Golf,1.4,Petrol,2002,127387,4205.650000000000000000,22,SCRATCH
VW,Polo,2.0,Petrol,1988,160189,1277.750000000000000000,36,SCRATCH
Ford,Fiesta,1.0,Petrol,2004,138953,3042.850000000000000000,20,SCRATCH
VW,Polo,1.4,Petrol,1993,217495,907.250000000000000000,31,SCRATCH
Ford,Fiesta,1.4,Petrol,1998,117616,2851.900000000000000000,26,SCRATCH
Toyota,RAV4,1.8,Petrol,2003,171088,5185.100000000000000000,21,SCRATCH
Ford,Focus,1.4,Petrol,2003,88544,7151.600000000000000000,21,SCRATCH
VW,Passat,1.4,Diesel,2021,4777,45914.000000000000,3,PERFECT
VW,Polo,1.2,Petrol,2020,17541,23938.000000000000,4,PERFECT
Toyota,Prius,1.0,Hybrid,2021,18175,40970.000000000000,3,PERFECT
Ford,Mondeo,2.0,Diesel,2019,19588,42025.000000000000,5,PERFECT
VW,Passat,1.4,Diesel,2020,16114,40466.000000000000,4,PERFECT
Toyota,Yaris,1.0,Hybrid,2022,6109,35914.000000000000,2,PERFECT
VW,Golf,1.4,Diesel,2020,21714,31489.000000000000,4,PERFECT
VW,Polo,1.4,Petrol,2020,16887,25948.000000000000,4,PERFECT
VW,Golf,1.8,Petrol,2019,36778,29183.000000000000,5,PERFECT
VW,Polo,1.0,Petrol,2019,38690,18122.000000000000,5,PERFECT
Ford,Focus,1.8,Petrol,2021,15568,44753.000000000000,3,PERFECT
Ford,Mondeo,1.8,Diesel,2021,10202,47910.000000000000,3,PERFECT
Ford,Fiesta,1.0,Petrol,2020,26402,20271.000000000000,4,PERFECT
Ford,Fiesta,1.0,Petrol,2019,22746,19356.000000000000,5,PERFECT
Porsche,718 Cayman,4.0,Petrol,2021,5968,93659.000000000000,3,PERFECT
VW,Polo,1.2,Petrol,2020,16172,24116.000000000000,4,PERFECT
VW,Passat,1.8,Diesel,2006,107503,9485.750000000000000000,18,SCRATCH
VW,Passat,1.6,Diesel,2002,83318,8155.750000000000000000,22,SCRATCH
Porsche,718 Cayman,2.4,Petrol,1997,246989,2237.250000000000000000,27,SCRATCH
Ford,Mondeo,1.8,Diesel,2012,81668,16132.90000000000000,12,SCRATCH
Ford,Focus,1.4,Petrol,2009,103983,9541.80000000000000,15,SCRATCH
VW,Golf,1.8,Petrol,1991,257172,743.850000000000000000,33,SCRATCH
BMW,Z4,2.0,Petrol,1991,241081,1195.100000000000000000,33,SCRATCH
Toyota,RAV4,2.2,Hybrid,2005,93525,13714.2000000000000,19,DENT
Ford,Fiesta,1.0,Petrol,2018,38404,14892.3000000000000,6,DENT
Ford,Mondeo,1.6,Diesel,2012,85455,14033.7000000000000,12,DENT
Ford,Focus,2.0,Petrol,1988,261729,693.90000000000000000,36,DENT
BMW,Z4,3.0,Petrol,1996,156682,4058.10000000000000000,28,DENT
Ford,Focus,2.0,Diesel,2010,83311,14067.0000000000000,14,DENT
Ford,Fiesta,1.2,Diesel,2011,86587,7850.70000000000000000,13,DENT
Ford,Fiesta,1.2,Diesel,2019,29707,21405.000000000000,5,PERFECT
Ford,Focus,1.0,Petrol,2021,7049,34892.000000000000,3,PERFECT
BMW,X3,2.0,Diesel,2022,1028,66183.000000000000,2,PERFECT
BMW,M5,4.4,Petrol,1998,161830,9702.0000000000000,26,DENT
VW,Polo,1.6,Petrol,1998,120898,2890.80000000000000000,26,DENT
Toyota,Prius,1.4,Hybrid,2005,82356,10071.9000000000000,19,DENT
VW,Golf,1.8,Diesel,2020,12510,37534.000000000000,4,PERFECT
VW,Polo,1.0,Petrol,2021,17706,23338.000000000000,3,PERFECT
Toyota,RAV4,2.2,Petrol,2019,23063,50707.000000000000,5,PERFECT
VW,Passat,2.0,Diesel,2021,11988,52855.000000000000,3,PERFECT
Toyota,RAV4,1.8,Hybrid,2020,13334,62039.000000000000,4,PERFECT
BMW,M5,5.0,Petrol,2019,21426,125814.000000000000,5,PERFECT
Toyota,Yaris,1.4,Hybrid,2020,27958,33033.000000000000,4,PERFECT
Ford,Fiesta,1.2,Petrol,2019,31477,20179.000000000000,5,PERFECT
Ford,Mondeo,1.8,Diesel,2021,11630,47551.000000000000,3,PERFECT
VW,Golf,1.4,Petrol,2019,36116,25838.000000000000,5,PERFECT
Ford,Focus,1.6,Petrol,2020,26691,37119.000000000000,4,PERFECT
Toyota,Yaris,1.4,Hybrid,1987,288484,404.10000000000000000,37,DENT
Toyota,Yaris,1.0,Hybrid,1996,93423,3322.80000000000000000,28,DENT
Ford,Fiesta,1.2,Hybrid,2015,39606,15912.9000000000000,9,DENT
Toyota,Yaris,1.4,Hybrid,2018,34625,25036.2000000000000,6,DENT
Ford,Mondeo,1.4,Hybrid,2001,145462,4569.30000000000000000,23,DENT
Toyota,RAV4,1.8,Hybrid,1995,149567,4136.40000000000000000,29,DENT
VW,Passat,1.6,Petrol,1990,117398,2576.70000000000000000,34,DENT
Toyota,Yaris,1.0,Hybrid,1992,174037,1346.40000000000000000,32,DENT
VW,Polo,1.2,Petrol,2013,73855,9573.3000000000000,11,DENT
Toyota,RAV4,2.2,Hybrid,2022,6448,81253.000000000000,2,PERFECT
VW,Passat,1.6,Diesel,2020,16341,43207.000000000000,4,PERFECT
VW,Polo,1.4,Petrol,2020,22602,25146,4,PERFECT
Ford,Mondeo,2.0,Diesel,2019,17200,42576.000000000000,5,PERFECT
Porsche,718 Cayman,2.4,Petrol,2019,31984,55066.000000000000,5,PERFECT
VW,Polo,1.6,Petrol,2020,14927,28035.000000000000,4,PERFECT
Ford,Focus,1.6,Petrol,2022,3884,47951.000000000000,2,PERFECT
Toyota,Yaris,1.0,Petrol,2019,21139,22614.000000000000,5,PERFECT
Toyota,RAV4,1.8,Hybrid,2021,11241,67057.000000000000,3,PERFECT
Toyota,RAV4,1.8,Petrol,2022,7201,61009.000000000000,2,PERFECT
Ford,Focus,1.6,Petrol,2019,24433,35170.000000000000,5,PERFECT
Toyota,RAV4,2.2,Hybrid,2021,11688,73959.000000000000,3,PERFECT
Ford,Mondeo,1.8,Diesel,2019,28128,38008.000000000000,5,PERFECT
BMW,M5,4.4,Petrol,2019,20736,118474,5,PERFECT
Toyota,RAV4,2.0,Hybrid,2020,29005,59970.000000000000,4,PERFECT
Ford,Mondeo,1.4,Diesel,2019,14288,36185.000000000000,5,PERFECT
VW,Polo,1.4,Petrol,2019,28744,22724.000000000000,5,PERFECT
Ford,Focus,1.4,Diesel,2022,5829,46630.000000000000,2,PERFECT
VW,Passat,1.6,Petrol,2020,21426,40020.000000000000,4,PERFECT
VW,Polo,1.4,Petrol,2019,23181,23449.000000000000,5,PERFECT
VW,Golf,1.2,Petrol,2019,24607,25559.000000000000,5,PERFECT
BMW,X3,3.0,Diesel,2020,17565,65059.000000000000,4,PERFECT
Toyota,Prius,1.4,Hybrid,2021,7229,51382.000000000000,3,PERFECT
Toyota,RAV4,1.8,Petrol,2020,19648,49963.000000000000,4,PERFECT
Ford,Fiesta,1.0,Petrol,1992,268571,414.00000000000000000,32,DENT
VW,Golf,1.6,Petrol,2018,27157,24493.5000000000000,6,DENT
Toyota,RAV4,1.8,Petrol,2015,65337,24446.7000000000000,9,DENT
VW,Golf,1.4,Diesel,1996,126814,2817.00000000000000000,28,DENT
Ford,Fiesta,1.2,Hybrid,2011,63482,10496.7000000000000,13,DENT
Ford,Focus,1.0,Petrol,2018,33714,22198.5000000000000,6,DENT
Ford,Fiesta,1.4,Petrol,2012,61988,10197.9000000000000,12,DENT
VW,Golf,1.6,Diesel,2021,10720,38187.000000000000,3,PERFECT
VW,Polo,1.2,Petrol,2019,28114,21114.000000000000,5,PERFECT
VW,Golf,1.8,Petrol,2019,45785,27643.000000000000,5,PERFECT
Ford,Mondeo,1.8,Diesel,2021,6129,48936.000000000000,3,PERFECT
Toyota,Prius,1.4,Hybrid,2019,15450,43057.000000000000,5,PERFECT
VW,Polo,1.2,Petrol,2021,18111,25509.000000000000,3,PERFECT
VW,Golf,1.4,Petrol,2020,7898,32299.000000000000,4,PERFECT
BMW,X3,3.0,Diesel,2019,18701,60487.000000000000,5,PERFECT
Ford,Focus,1.0,Petrol,2020,17913,30811.000000000000,4,PERFECT
VW,Passat,2.0,Diesel,2019,27123,42571.000000000000,5,PERFECT
Ford,Focus,2.0,Diesel,2022,6409,55567.000000000000,2,PERFECT
VW,Golf,1.4,Petrol,2020,24584,29513.000000000000,4,PERFECT
Toyota,RAV4,1.8,Petrol,2020,10906,52369.000000000000,4,PERFECT
VW,Polo,2.0,Petrol,2021,9780,34433.000000000000,3,PERFECT
Ford,Focus,1.6,Petrol,2021,20054,41175.000000000000,3,PERFECT
VW,Golf,1.8,Petrol,2022,11142,41142.000000000000,2,PERFECT
Toyota,RAV4,2.4,Hybrid,2019,32702,60161.000000000000,5,PERFECT
Porsche,718 Cayman,2.0,Petrol,2021,17045,62459.000000000000,3,PERFECT
VW,Passat,1.4,Diesel,2006,101162,8766.600000000000000000,18,SCRATCH
Toyota,Yaris,1.4,Hybrid,2021,10276,38901.000000000000,3,PERFECT
Porsche,Cayenne,4.0,Diesel,2019,23725,92636.000000000000,5,PERFECT
Toyota,Prius,1.8,Hybrid,2012,35178,26028.10000000000000,12,SCRATCH
VW,Golf,1.2,Diesel,2003,32559,8384.700000000000000000,21,SCRATCH
Ford,Mondeo,1.6,Diesel,2017,70518,22902.60000000000000,7,SCRATCH
Ford,Fiesta,1.0,Petrol,2016,16421,15586.65000000000000,8,SCRATCH
Porsche,Cayenne,3.0,Petrol,2015,45607,48906.95000000000000,9,SCRATCH
VW,Polo,1.4,Petrol,2005,136183,4038.450000000000000000,19,SCRATCH
Ford,Mondeo,2.0,Diesel,1996,198233,2311.350000000000000000,28,SCRATCH
VW,Passat,2.0,Diesel,2005,87586,10809.10000000000000,19,SCRATCH
Ford,Mondeo,1.6,Hybrid,2007,106403,10426.25000000000000,17,SCRATCH
Ford,Mondeo,1.6,Diesel,2020,15313,41124.000000000000,4,PERFECT
VW,Passat,1.8,Diesel,2020,25421,43587.000000000000,4,PERFECT
Toyota,RAV4,2.0,Hybrid,2020,34532,58082,4,PERFECT
Ford,Fiesta,1.0,Petrol,2020,17843,21257.000000000000,4,PERFECT
Toyota,Yaris,1.0,Petrol,2019,18508,22943.000000000000,5,PERFECT
Ford,Fiesta,1.0,Diesel,2021,11525,24682.000000000000,3,PERFECT
Porsche,718 Cayman,4.0,Petrol,2019,27685,72867.000000000000,5,PERFECT
Toyota,Yaris,1.0,Hybrid,2019,14097,28196.000000000000,5,PERFECT
Toyota,Yaris,1.0,Hybrid,2019,11232,28629.000000000000,5,PERFECT
VW,Passat,1.4,Diesel,2021,15295,43447.000000000000,3,PERFECT
VW,Passat,1.8,Diesel,2019,32324,39199.000000000000,5,PERFECT
Ford,Fiesta,1.2,Petrol,2019,34182,19864.000000000000,5,PERFECT
VW,Golf,1.4,Petrol,2020,12346,31553.000000000000,4,PERFECT
Toyota,Prius,1.4,Hybrid,2014,62412,22156.85000000000000,10,SCRATCH
Porsche,911,3.5,Petrol,1998,115294,15672.15000000000000,26,SCRATCH
VW,Golf,1.6,Petrol,2005,155998,4362.400000000000000000,19,SCRATCH
Toyota,Yaris,1.0,Petrol,2001,139636,2869.000000000000000000,23,SCRATCH
VW,Polo,1.0,Petrol,2004,107726,3977.650000000000000000,20,SCRATCH
VW,Polo,1.6,Petrol,2011,100733,8449.300000000000000000,13,SCRATCH
Ford,Mondeo,1.4,Diesel,2012,84523,13946.95000000000000,12,SCRATCH
Ford,Fiesta,1.4,Petrol,2006,141261,4039.400000000000000000,18,SCRATCH
VW,Golf,2.0,Diesel,1995,245433,1197.950000000000000000,29,SCRATCH
